from_station,to_station,weekday_fare,weekend_fare,total_time,stations
RAJIV CHOWK,DELHI GATE,21,21,0:12:37,5
KASHMERE GATE,CHAWRI BAZAR,21,21,0:04:29,3
AHNR,AHRM,54,54,0:54:53,20
AHNR,AIIMS,43,43,0:38:41,19
AHNR,AIT,84,84,1:26:05,34
AHNR,AJG,64,64,1:02:03,28
AHNR,APMN,32,32,0:41:38,8
AHNR,APOT,96,96,0:47:59,15
AHNR,ASDM,43,43,0:45:24,17
AHNR,ATHA,54,54,0:53:31,21
AHNR,AVIT,43,43,0:48:37,16
AHNR,AZU,11,11,0:02:13,2
AHNR,BACH,64,64,1:27:35,37
AHNR,BAPB,64,64,1:08:54,29
AHNR,BCGN,54,54,1:01:21,24
AHNR,BEL,84,84,1:20:31,32
AHNR,BIMR,21,21,0:04:12,3
AHNR,BJPU,,,,
AHNR,BKCP,54,54,0:47:09,14
AHNR,BKMR,64,64,1:20:57,34
AHNR,BRKR,43,43,0:30:55,13
AHNR,BURI,,,,
AHNR,BUSS,54,54,1:03:04,23
AHNR,BVHM,64,64,1:36:35,40
AHNR,CDLI,54,54,0:58:21,23
AHNR,CHK,32,32,0:17:46,9
AHNR,CHTP,54,54,0:54:06,25
AHNR,CIPK,54,54,1:05:52,24
AHNR,CL,32,32,0:13:09,7
AHNR,CTST,43,43,0:28:18,14
AHNR,CWBR,32,32,0:19:59,10
AHNR,DACY,86,86,0:44:27,14
AHNR,DBMR,43,43,1:03:04,14
AHNR,DDSC,43,43,0:42:00,12
AHNR,DKV,75,75,0:39:26,13
AHNR,DL2,84,84,1:19:00,31
AHNR,DL3,84,84,1:26:03,35
AHNR,DLIC,43,43,0:37:05,11
AHNR,DLIG,43,43,0:27:11,11
AHNR,DM,43,43,0:56:39,17
AHNR,DNBT,54,54,1:15:03,21
AHNR,DSE,54,54,1:07:33,22
AHNR,DSET,107,107,0:59:04,17
AHNR,DSFN,54,54,1:01:32,19
AHNR,DSG,43,43,0:41:23,15
AHNR,DSHP,43,43,1:08:04,15
AHNR,DSN,117,117,1:01:02,18
AHNR,DST,117,117,1:03:07,19
AHNR,DSTN,54,54,1:03:28,20
AHNR,DSTO,96,96,0:51:03,16
AHNR,DSW,54,54,1:05:30,21
AHNR,DW,54,54,0:59:07,18
AHNR,EANR,43,43,0:40:37,12
AHNR,ECMJ,64,64,1:29:55,38
AHNR,ESIH,32,32,0:26:14,7
AHNR,GAT,84,84,1:22:23,33
AHNR,GDPI,54,54,0:54:18,23
AHNR,GE,64,64,1:05:21,29
AHNR,GEC,54,54,1:03:57,25
AHNR,GHEM,54,54,0:53:47,19
AHNR,GKEI,54,54,1:00:09,24
AHNR,GKPR,43,43,0:45:41,14
AHNR,GNPK,54,54,0:40:56,20
AHNR,GTBR,21,21,0:06:42,4
AHNR,GTNI,54,54,0:58:49,27
AHNR,HCC,64,64,1:14:11,33
