line_code,station_code,station_order
LN1,NBAA,1
LN1,HDNR,2
LN1,ATHA,3
LN1,MNGM,4
LN1,SMPK,5
LN1,RJNM,6
LN1,RJBH,7
LN1,SHDN,8
LN1,DSG,9
LN1,JLML,10
LN1,MPK,11
LN1,SHD,12
LN1,WC,13
LN1,SLAP,14
LN1,SHPK,15
LN1,KG,16
LN1,TZI,17
LN1,PBGH,18
LN1,PRA,19
LN1,SHT,20
LN1,ILOK,21
LN1,KN,22
LN1,KP,23
LN1,NSHP,24
LN1,KE,25
LN1,PTP,26
LN1,RHE,27
LN1,RHW,28
LN1,RI,29
LN2,SPBI,1
LN2,RISE,2
LN2,BIMR,3
LN2,JGPI,4
LN2,AHNR,5
LN2,AZU,6
LN2,MDTW,7
LN2,GTBR,8
LN2,VW,9
LN2,VS,10
LN2,CL,11
LN2,KG,12
LN2,CHK,13
LN2,CWBR,14
LN2,NDI,15
LN2,RCK,16
LN2,PTCK,17
LN2,CTST,18
LN2,UDB,19
LN2,LKM,20
LN2,JB,21
LN2,INA,22
LN2,AIIMS,23
LN2,GNPK,24
LN2,HKS,25
LN2,MVNR,26
LN2,SAKT,27
LN2,QM,28
LN2,CHTP,29
LN2,SLTP,30
LN2,GTNI,31
LN2,AJG,32
LN2,GE,33
LN2,SKRP,34
LN2,MGRO,35
LN2,IFOC,36
LN2,HCC,37
LN3,DSTO,1
LN3,DSET,2
LN3,DSN,3
LN3,DST,4
LN3,DSE,5
LN3,DSW,6
LN3,DSTN,7
LN3,DSFN,8
LN3,DW,9
LN3,DM,10
LN3,NWD,11
LN3,UNW,12
LN3,UNE,13
LN3,JPW,14
LN3,JPE,15
LN3,TN,16
LN3,SN,17
LN3,TG,18
LN3,RG,19
LN3,RN,20
LN3,MN,21
LN3,KNR,22
LN3,SP,23
LN3,PN,24
LN3,RP,25
LN3,KB,26
LN3,JW,27
LN3,RKAM,28
LN3,RCK,29
LN3,BRKR,30
LN3,MDHS,31
LN3,PTMD,32
LN3,IDPT,33
LN3,YB,34
LN3,ASDM,35
LN3,MVP1,36
LN3,MVE,37
LN3,NAGR,38
LN3,NSFT,39
LN3,NSST,40
LN3,NSET,41
LN3,BCGN,42
LN3,GEC,43
LN3,NCC,44
LN3,STFN,45
LN3,SFTN,46
LN3,SSON,47
LN3,SFNN,48
LN3,SSTN,49
LN3,NECC,50
LN4,YB,1
LN4,LN,2
LN4,NV,3
LN4,PTVR,4
LN4,KKDA,5
LN4,AVIT,6
LN4,KSHI,7
LN4,VASI,8
LN5,KNR,1
LN5,SRSM,2
LN5,ILOK,3
LN5,APMN,4
LN5,PBGA,5
LN5,PBGW,6
LN5,SHVP,7
LN5,MAPR,8
LN5,PVE,9
LN5,PVW,10
LN5,PAGI,11
LN5,UNRG,12
LN5,SMSM,13
LN5,NNOI,14
LN5,NRSN,15
LN5,RDPK,16
LN5,MUDK,17
LN5,MIAA,18
LN5,GHEM,19
LN5,TKLM,20
LN5,TKBR,21
LN5,MIEE,22
LN5,BUSS,23
LN5,CIPK,24
LN6,KG,1
LN6,LLQA,2
LN6,JAMD,3
LN6,DLIG,4
LN6,ITO,5
LN6,MDHS,6
LN6,JNPH,7
LN6,CTST,8
LN6,KM,9
LN6,JLNS,10
LN6,JGPA,11
LN6,LJPN,12
LN6,MLCD,13
LN6,KHCY,14
LN6,NP,15
LN6,KJMD,16
LN6,GDPI,17
LN6,HNOK,18
LN6,JLA,19
LN6,STVR,20
LN6,METE,21
LN6,TKDS,22
LN6,BAPB,23
LN6,SRAI,24
LN6,NHPC,25
LN6,MMJR,26
LN6,STTA,27
LN6,BKMR,28
LN6,OFDB,29
LN6,NCAJ,30
LN6,BACH,31
LN6,ECMJ,32
LN6,NCBC,33
LN6,BVHM,34
LN7,MKPR,1
LN7,AZU,2
LN7,SMBG,3
LN7,NSHP,4
LN7,SAKP,5
LN7,PBGW,6
LN7,ESIH,7
LN7,RG,8
LN7,MYPI,9
LN7,NAVR,10
LN7,DLIC,11
LN7,DDSC,12
LN7,SVMB,13
LN7,BKCP,14
LN7,SOJI,15
LN7,INA,16
LN7,SOEN,17
LN7,LJPN,18
LN7,VNPR,19
LN7,AHRM,20
LN7,NIZM,21
LN7,MVP1,22
LN7,MVPO,23
LN7,TKPR,24
LN7,VENT,25
LN7,VNNR,26
LN7,IPE,27
LN7,AVIT,28
LN7,KKDA,29
LN7,KKDC,30
LN7,KHNA,31
LN7,EANR,32
LN7,WC,33
LN7,JFRB,34
LN7,MUPR,35
LN7,GKPR,36
LN7,JIEE,37
LN7,SVVR,38
LN7,YMVR,39
LN7,BJPU,40
LN7,KJKS,41
LN7,SNVH,42
LN7,JPVE,43
LN7,JRMJ,44
LN7,BURI,45
LN8,KPEN,1
LN8,JPW,2
LN8,DBMR,3
LN8,DSHP,4
LN8,PALM,5
LN8,SABR,6
LN8,IGDA,7
LN8,SKVR,8
LN8,VTVR,9
LN8,MIRK,10
LN8,RKPM,11
LN8,IIT,12
LN8,HKS,13
LN8,PSPK,14
LN8,CDLI,15
LN8,GKEI,16
LN8,NUEE,17
LN8,KJMD,18
LN8,OKNS,19
LN8,IWNR,20
LN8,JANR,21
LN8,OVA,22
LN8,JLA8,23
LN8,KIKJ,24
LN8,OKBS,25
LN8,BCGN,26
LN9,DW,1
LN9,NNGI,2
LN9,NFGH,3
LN9,DNBT,4
LN10,NDI,1
LN10,SJSU,2
LN10,DKV,3
LN10,DACY,4
LN10,APOT,5
LN10,DSTO,6
LN10,IICC,7
LN11,S55,1
LN11,AIT,2
LN11,S53,3
LN11,SUL,4
LN11,PH1,5
LN11,SKRP,6
LN11,DL2,7
LN11,BEL,8
LN11,GAT,9
LN11,MAL,10
LN11,DL3,11
LN12,DDSC,1
