station_code,station_name
NBAA,SHAHEED STHAL ( NEW BUS ADDA)
HDNR,HINDON RIVER
ATHA,ARTHALA
MNGM,MOHAN NAGAR
SMPK,SHYAM PARK
RJNM,MAJOR MOHIT SHARMA RAJENDRA NAGAR
RJBH,RAJ BAGH
SHDN,SHAHEED NAGAR
DSG,DILSHAD GARDEN
JLML,JHILMIL
MPK,MANSAROVAR PARK
SHD,SHAHDARA
WC,WELCOME
SLAP,SEELAMPUR
SHPK,SHASTRI PARK
KG,KASHMERE GATE
TZI,TIS HAZARI
PBGH,PULBANGASH
PRA,PRATAP NAGAR
SHT,SHASTRI NAGAR
ILOK,INDERLOK
KN,KANHAIYA NAGAR 
KP,KESHAV PURAM
NSHP,NETAJI SUBHASH PLACE
KE,KOHAT ENCLAVE
PTP,PITAMPURA
RHE,ROHINI EAST
RHW,ROHINI WEST
RI,RITHALA
SPBI,SAMAYPUR BADLI
RISE,"ROHINI SECTOR - 18, 19"
BIMR,HAIDERPUR BADLI MOR
JGPI,JAHANGIRPURI
AHNR,ADARSH NAGAR
AZU,AZADPUR
MDTW,MODEL TOWN
GTBR,GURU TEG BAHADUR NAGAR
VW,VISHWAVIDYALAYA
VS,VIDHAN SABHA
CL,CIVIL LINES
CHK,CHANDNI CHOWK
CWBR,CHAWRI BAZAR
NDI,NEW DELHI (Yellow & Airport Line)
RCK,RAJIV CHOWK
PTCK,PATEL CHOWK
CTST,CENTRAL SECRETARIAT
UDB,UDYOG BHAWAN
LKM,LOK KALYAN MARG
JB,JOR BAGH
INA,DILLI HAAT - INA
AIIMS,AIIMS
GNPK,GREEN PARK
HKS,HAUZ KHAS
MVNR,MALVIYA NAGAR
SAKT,SAKET
QM,QUTAB MINAR
CHTP,CHHATARPUR
SLTP,SULTANPUR
GTNI,GHITORNI
AJG,ARJAN GARH
GE,GURU DRONACHARYA
SKRP,SIKANDERPUR
MGRO,M.G. ROAD
IFOC,IFFCO CHOWK
HCC,MILLENNIUM CITY CENTRE GURUGRAM
DSTO,DWARKA SECTOR - 21
DSET,DWARKA SECTOR - 8
DSN,DWARKA SECTOR - 9
DST,DWARKA SECTOR - 10
DSE,DWARKA SECTOR - 11
DSW,DWARKA SECTOR - 12
DSTN,DWARKA SECTOR - 13
DSFN,DWARKA SECTOR - 14
DW,DWARKA
DM,DWARKA MOR
NWD,NAWADA
UNW,UTTAM NAGAR WEST
UNE,UTTAM NAGAR EAST
JPW,JANAKPURI WEST
JPE,JANAKPURI EAST
TN,TILAK NAGAR
SN,SUBHASH NAGAR
TG,TAGORE GARDEN
RG,RAJOURI GARDEN
RN,RAMESH NAGAR
MN,MOTI NAGAR
KNR,KIRTI NAGAR
SP,SHADIPUR
PN,PATEL NAGAR
RP,RAJENDRA PLACE
KB,KAROL BAGH
JW,JHANDEWALAN
RKAM,RAMAKRISHNA ASHRAM MARG
BRKR,BARAKHAMBA ROAD
MDHS,MANDI HOUSE
PTMD,SUPREME COURT
IDPT,INDRAPRASTHA
YB,YAMUNA BANK
ASDM,AKSHARDHAM
MVP1,MAYUR VIHAR -I
MVE,MAYUR VIHAR EXTENSION
NAGR,NEW ASHOK NAGAR
NSFT,NOIDA SECTOR-15
NSST,NOIDA SECTOR-16
NSET,NOIDA SECTOR-18
BCGN,BOTANICAL GARDEN
GEC,GOLF COURSE
NCC,NOIDA CITY CENTRE
STFN,SECTOR - 34 NOIDA
SFTN,SECTOR - 52 NOIDA
SSON,SECTOR - 61 NOIDA
SFNN,SECTOR - 59 NOIDA
SSTN,SECTOR - 62 NOIDA
NECC,NOIDA ELECTRONIC CITY
LN,LAXMI NAGAR
NV,NIRMAN VIHAR
PTVR,PREET VIHAR
KKDA,KARKARDUMA
AVIT,ANAND VIHAR ISBT
KSHI,KAUSHAMBI
VASI,VAISHALI
SRSM,SATGURU RAM SINGH MARG
APMN,ASHOK PARK MAIN
PBGA,PUNJABI BAGH
PBGW,PUNJABI BAGH WEST
SHVP,SHIVAJI PARK
MAPR,MADIPUR
PVE,PASCHIM VIHAR EAST
PVW,PASCHIM VIHAR WEST
PAGI,PEERAGARHI
UNRG,UDYOG NAGAR
SMSM,MAHARAJA SURAJMAL STADIUM
NNOI,NANGLOI
NRSN,NANGLOI RAILWAY STATION
RDPK,RAJDHANI PARK
MUDK,MUNDKA
MIAA,MUNDKA INDUSTRIAL AREA (MIA)
GHEM,GHEVRA METRO STATION
TKLM,TIKRI KALAN
TKBR,TIKRI BORDER
MIEE,PANDIT SHREE RAM SHARMA
BUSS,BAHADURGARH CITY
CIPK,BRIG. HOSHIAR SINGH
LLQA,LAL QUILA
JAMD,JAMA MASJID
DLIG,DELHI GATE
ITO,ITO
JNPH,JANPATH
KM,KHAN MARKET
JLNS,JLN STADIUM
JGPA,JANGPURA
LJPN,LAJPAT NAGAR
MLCD,MOOLCHAND
KHCY,KAILASH COLONY
NP,NEHRU PLACE
KJMD,KALKAJI MANDIR
GDPI,GOVIND PURI
HNOK,HARKESH NAGAR OKHLA
JLA,JASOLA-APOLLO
STVR,SARITA VIHAR
METE,MOHAN ESTATE
TKDS,TUGHLAKABAD STATION
BAPB,BADARPUR BORDER
SRAI,SARAI
NHPC,NHPC CHOWK
MMJR,MEWALA MAHARAJPUR
STTA,SECTOR-28
BKMR,BADKAL MOR
OFDB,OLD FARIDABAD
NCAJ,NEELAM CHOWK AJRONDA
BACH,BATA CHOWK
ECMJ,ESCORTS MUJESAR
NCBC,SANT SURDAS (SIHI)
BVHM,RAJA NAHAR SINGH (BALLABHGARH)
MKPR,MAJLIS PARK
SMBG,SHALIMAR BAGH
SAKP,SHAKURPUR
ESIH,ESI-BASAIDARAPUR
MYPI,MAYAPURI
NAVR,NARAINA VIHAR
DLIC,DELHI CANTT.
DDSC,DURGABAI DESHMUKH SOUTH CAMPUS
SVMB,SIR M. VISHWESHWARAIAH MOTI BAGH
BKCP,BHIKAJI CAMA PLACE
SOJI,SAROJINI NAGAR
SOEN,SOUTH EXTENSION
VNPR,VINOBAPURI
AHRM,ASHRAM
NIZM,SARAI KALE KHAN - NIZAMUDDIN
MVPO,MAYUR VIHAR POCKET-1
TKPR,TRILOKPURI-SANJAY LAKE
VENT,EAST VINOD NAGAR-MAYUR VIHAR -II
VNNR,MANDAWALI - WEST VINOD NAGAR
IPE,I.P. EXTENSION
KKDC,KARKARDUMA COURT
KHNA,KRISHNA NAGAR
EANR,EAST AZAD NAGAR
JFRB,JAFRABAD
MUPR,MAUJPUR-BABARPUR
GKPR,GOKULPURI
JIEE,JOHRI ENCLAVE
SVVR,SHIV VIHAR
YMVR,YAMUNA VIHAR
BJPU,BHAJANPURA
KJKS,KHAJURI KHAS
SNVH,SONIA VIHAR
JPVE,JAGATPUR VILLAGE
JRMJ,JHARODA MAJRA
BURI,BURARI
KPEN,KRISHNA PARK EXTENSION
DBMR,DABRI MOR - JANAKPURI SOUTH
DSHP,DASHRATHPURI
PALM,PALAM
SABR,SADAR BAZAR CANTONMENT
IGDA,TERMINAL 1-IGI AIRPORT
SKVR,SHANKAR VIHAR
VTVR,VASANT VIHAR
MIRK,MUNIRKA
RKPM,R.K.PURAM
IIT,IIT
PSPK,PANCHSHEEL PARK
CDLI,CHIRAG DELHI
GKEI,GREATER KAILASH
NUEE,NEHRU ENCLAVE
OKNS,OKHLA NSIC
IWNR,SUKHDEV VIHAR
JANR,JAMIA MILLIA ISLAMIA
OVA,OKHLA VIHAR
JLA8,JASOLA VIHAR SHAHEEN BAGH
KIKJ,KALINDI KUNJ
OKBS,OKHLA BIRD SANCTUARY
NNGI,NANGLI
NFGH,NAJAFGARH
DNBT,DHANSA BUS STAND
SJSU,SHIVAJI STADIUM 
DKV,DHAULA KUAN
DACY,DELHI AEROCITY
APOT,AIRPORT (T-3)
IICC,YASHOBHOOMI DWARKA SECTOR  - 25
S55,SECTOR 55-56
AIT,SECTOR-54 CHOWK
S53,SECTOR-53-54
SUL,SECTOR-42-43
PH1,PHASE-1
DL2,PHASE-2
BEL,BELVEDERE TOWERS
GAT,CYBER CITY
MAL,MOULSARI AVENUE
DL3,PHASE-3
